name,player_id,k_percent_Breaking,k_percent_Fastball,k_percent_Offspeed,put_away_Breaking,put_away_Fastball,put_away_Offspeed,whiff_percent_Breaking,whiff_percent_Fastball,whiff_percent_Offspeed,woba_Breaking,woba_Fastball,woba_Offspeed
Aaron Judge,592450,31.522058675304528,16.621880830635025,13.088342447057938,21.335477694920296,17.605958520800623,10.310176862121262,44.46824257423143,16.085649929912663,36.4549100808078,0.4110546798542322,0.5816914799512835,0.5026011381978638
Adael Amador,691182,28.114445689868788,27.40895903261197,22.96301383448924,20.82102059681577,23.80167401178304,18.345681013779444,30.6757121528443,19.36150789056249,36.269610827174375,0.3135682981148394,0.3041918597317604,0.3194163649935225
Adam Frazier,624428,25.692393217042294,12.931073680262775,22.136393182067994,19.121354362240613,11.362452018023143,17.552385998931758,23.2811074137082,17.58210939359713,24.120335373768047,0.2557161328958738,0.2761999485463307,0.2147953832913644
Addison Barger,680718,30.05995612874001,21.227930508487024,31.054226878804528,20.53698987538208,19.97310882203869,29.56471502536914,35.910758837460804,19.80675206214948,37.4322704613409,0.3106756396604257,0.2073834212379448,0.1979229081306683
Adley Rutschman,668939,26.582569468496416,10.249452433018329,18.86820483757335,18.36655136471201,14.420780606813333,11.744241275158764,19.22354618857757,7.797382686571229,12.872033820352735,0.2635507010815231,0.329020046214183,0.258055790347908
Adolis Garcia,666969,29.83489520140852,18.27614601141115,25.3199966897084,29.41540603155101,20.642534389578884,20.534528133636098,42.27648892274969,20.049085187149046,38.54313623546527,0.229468081044352,0.3878180350621912,0.2469466007446021
Agustin Ramirez,682663,22.30069970700457,17.921521639694713,21.49447334875753,19.710522504724157,21.384455169343823,15.110467460396269,33.18405677506767,17.20091295309435,33.72584099441045,0.2799718618419502,0.3917873761822075,0.2995827625300849
Alan Roden,702176,15.08138279814208,14.876798115284371,21.17878767856805,12.679791071260894,12.730706953414888,20.08483195814529,26.26110629573696,10.560203053652312,20.22835043895469,0.3049402908526495,0.2248329833105969,0.1728972473758271
Alec Bohm,664761,21.19539411523948,13.344033044661588,15.596765168694054,19.54707574189819,15.617524017458278,12.14239735921839,27.33440022729373,7.612633929524906,17.92272781477122,0.2151278861027617,0.3015016368550167,0.2811886522042313
Alec Burleson,676475,16.923042746012168,13.968136379649769,24.1088621385929,12.62397065707547,15.687681354955297,16.735035786072803,19.39080876232272,15.482953436187405,35.2230159242489,0.2617513589250559,0.3946759283690734,0.3632360635383686
Alejandro Kirk,672386,18.513313430142222,11.140042773581108,22.22467460189777,15.799034479517172,12.451597044504126,18.421694586382177,26.176324102341187,16.201277881697795,25.444252760255345,0.2555463104884151,0.2918288416830373,0.2403555923877867
Alek Thomas,677950,0.0,24.67401145300326,13.95807577318705,0.0,30.322239987054253,13.307336880377068,23.789942728551942,21.14327577850346,24.93496024255148,0.2811925626936472,0.3506462233690801,0.2610998379693467
Alex Bregman,608324,23.35133245090165,15.78360330595479,23.173970761874926,24.08896168599392,18.02350478025652,19.35108351132389,30.18127204029783,10.9910018944713,24.40390627495095,0.385641419684226,0.3971388922502414,0.4337143967233454
Alex Call,669743,24.404245295986293,11.071335918873066,14.06562014592016,20.77785298020028,12.371951451807249,10.62926523142783,27.28112185236061,12.9285731317439,21.10605942111041,0.2913012832979048,0.3369865188701535,0.2351804020161042
Alex Verdugo,657077,12.64505245313645,10.051500813582953,18.348235479602696,10.81698855946346,10.642123259576987,12.49477105695647,16.855855797914415,7.103634846798662,21.55621036134208,0.3141797887517126,0.3027435566981618,0.296233607123946
Alexander Canario,672744,28.12770718544348,4.721247002400244,26.24236638942028,22.377798757481635,5.478826107998566,19.011936383727075,39.303132026685255,32.53235504520035,24.57535896455256,0.3915072280264318,0.5015214992780364,0.2841495560111019
Andrew Benintendi,643217,24.96634702298068,16.12694331807511,15.639924350125964,23.595375298147037,19.44723524294201,15.399101929687353,27.208920893900924,25.03120756984098,23.421642422735985,0.3102268977714295,0.3413456761585567,0.2728704369739593
Andrew Mccutchen,457705,22.291026436783877,12.150290847398193,14.260004062732907,13.058108668148968,12.978479369616196,10.377985897522034,38.65546642817929,18.78420136170176,27.19505514129227,0.296609309132449,0.3145373403663785,0.2352596606864355
Andrew Vaughn,683734,30.234422226718014,17.25776418302607,18.67978853479336,19.291303112219623,20.45196750812518,14.884073074086404,40.54167042727714,17.51370136428398,22.938481596395597,0.2360969113043432,0.2595878161037509,0.2755060928165361
Andres Gimenez,665926,12.5209826274293,21.98516268647871,8.100161016419165,11.629780866453068,23.98363919250067,10.221015507880796,22.714191758243324,22.2298490400719,21.929600254754572,0.2953562972971113,0.2651144586985885,0.1275626765668294
Andy Ibanez,628451,27.34194527475185,14.4183682408577,21.62905797661052,16.843286444911005,10.196666302511863,17.545891787934885,36.12388945619978,18.602632726159296,24.35007448644785,0.2865146464176902,0.3301929234086672,0.2964396110166352
Andy Pages,681624,15.243074341444254,23.373146798309705,16.780533173691985,11.351829095031864,16.72106225311873,14.02896150014681,20.7210145979882,19.583434390598683,21.835637478854835,0.4469771220232273,0.3236311201693444,0.3613650530794556
Angel Martinez,682657,26.17970104561057,8.83492771336236,20.353115558688557,19.455469434605305,6.534124230066425,16.359215990630524,30.64049504439551,21.548176971276614,26.82341678086017,0.2832823557881435,0.3612893975195806,0.2496203043217154
Anthony Santander,623993,21.956381766478867,27.29376823173685,23.538331882222632,13.536987086718709,24.37292217425415,17.409810920189,22.011146142835926,20.47206068223052,27.972684538303508,0.3502390977962354,0.3276799674142556,0.2723905544900833
Anthony Volpe,683011,26.96507955156832,19.71306031636356,23.203001145124748,30.51212768917026,18.60637584357169,18.596963394543213,30.12284937875934,27.248149425570286,31.012287338749303,0.2555264615691245,0.424246169512367,0.2494293015447005
Austin Hays,669720,29.765184984455438,24.67229954267024,20.32475230253893,35.59316069377542,26.893347904201065,14.926435696909602,47.75963427141503,15.209247240622602,30.67556937405289,0.3528017480838462,0.4196130074084805,0.2806871939138938
Austin Hedges,595978,24.357368405256185,26.943826351779787,6.158996401400376,21.26461996720374,28.684137265358142,6.283211411825833,32.73381044558291,23.083991842803496,20.055626484034843,0.3251102178136515,0.2852274403953121,0.237744003549124
Austin Riley,663586,17.316553916059775,23.32501086069799,20.361759651722235,10.419247892823652,19.881985308729583,15.582141591933976,33.475546094041924,24.850173174227567,25.47739451973861,0.3115758727218711,0.3680562892583243,0.2949352641008082
Austin Wells,669224,35.284974809359554,11.449757566069952,24.53801194581653,25.614195370001152,10.758793688199212,22.97729600095336,36.56787273241561,20.441403363091,29.376939770175323,0.2444875781161146,0.3581371035628949,0.3217318455012812
Ben Rice,700250,43.65101680937323,15.456527312159432,4.5960971432348,43.61735676810752,17.435126307790203,5.290380575095257,50.491588828062,9.71153287110186,20.651337730490024,0.230024769561443,0.4776872951278781,0.2538535586988998
Ben Rortvedt,666163,27.242986595662323,26.07368041684297,22.44628695063615,21.801877883565744,17.0726119844986,18.532568450765787,31.845197275273737,24.108714746623527,30.93936471301304,0.3407476692711049,0.1507622339848382,0.2446293761976308
Ben Williamson,810938,27.888973826977384,26.812131114390763,21.706693816442627,21.65853390085685,22.012272794468178,19.50171735610417,36.84051606625998,18.289627657187488,36.35249028600329,0.2709156442172659,0.2898948660942113,0.2828966687238842
Blake Dunn,694362,28.59954947925401,37.38269242381213,28.815971106722102,23.248009878510373,30.45767916260642,22.416514253317104,44.32251761739614,37.85980793644234,33.16382679603508,0.2800315680913663,0.3553448301671745,0.2946368356363537
Bo Bichette,666182,22.594732646639564,9.96089806848993,18.12738397477,19.3622458885585,11.54125758120388,14.24210169636376,29.55584612629393,12.92509517698602,27.982047736449623,0.4030015745512821,0.3613596092260166,0.2988558963707019
Bo Naylor,666310,26.00335632182495,7.32736708453401,20.770130501664696,17.210873026328112,7.1894124931198125,16.794654945170368,32.69618804400138,16.21055436219443,26.371862566416887,0.2283207876710148,0.297483645110778,0.2222636134623827
Bobby Witt Jr.,677951,13.568625435822272,13.98632821058158,18.56632758029527,14.832383294879502,11.15055659380752,14.649443231145684,27.41708988734498,19.770421008406935,23.6239197424991,0.3175302027073218,0.4371616188869502,0.2888173264699689
Brandon Lockridge,663604,29.980903720156665,13.753894417354507,22.753067944903187,20.00045868010903,10.690598079788732,18.93159024465352,37.65669658139695,24.923600001324917,23.940332780199792,0.2624019295674137,0.2918320667049808,0.3448831074202618
Brandon Lowe,664040,17.269615008246905,26.00858974131277,32.925336399838415,11.450992447453707,26.493086741741436,28.816354195987152,38.57869879250707,30.766580811535487,47.4782711836679,0.0850028155499862,0.3566830672712091,0.2427019554538834
